comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,label
0.68069947,6.5617366,5.7143273,3.4661732,5.0080957,0.0,7.87096,3.7916372,1029329_F.jpg
0.5477586,5.2144136,4.4901295,3.1791651,5.0314093,0.0,9.641252,4.4793215,1029430_B.jpg
0.5558807,5.1857963,4.3805923,3.038993,5.021226,0.0,9.593637,4.3250732,1029430_F.jpg
0.9503957,9.543728,7.7518377,3.685934,5.436943,0.0,6.4146156,4.627991,1030210_B.jpg
0.8503846,9.619501,7.753295,3.5920963,5.6408567,0.0,6.4122095,4.586693,1030210_F.jpg
1.4012138,9.2352915,7.1684933,4.962823,6.133789,0.0,5.735261,4.4699373,1030213_B.jpg
1.5418968,8.721813,6.8937435,4.981151,5.8140917,0.0,5.9825664,4.424899,1030213_F.jpg
0.57776636,7.0007186,5.3113155,4.0403013,6.159508,0.0,7.837435,3.8857343,1102128_B.jpg
0.55362076,6.7905207,5.2494054,4.016177,5.959629,0.0,7.7450814,3.8022346,1102128_F.jpg
1.2157571,9.049444,7.683948,3.6697874,6.185898,0.0,7.091229,4.1298876,1102226_B.jpg
1.0932853,9.034269,7.8651733,3.6206684,6.0496483,0.0,7.276351,4.1330996,1102226_F.jpg
0.67125046,8.577599,6.0358467,4.866867,6.58769,0.0,6.4522567,4.352293,1102283_B.jpg
0.6019048,8.971491,6.170864,5.072152,6.6551514,0.0,6.5005064,4.301606,1102283_F.jpg
0.5085463,4.3168797,3.248818,3.017674,4.9177456,0.0,10.444905,4.094186,1102298_B.jpg
0.48540527,3.8495455,3.1053815,2.98861,4.789221,0.0,10.520699,4.0134296,1102298_F.jpg
0.5139506,3.9062848,3.14648,2.9170034,4.7656727,0.0,10.378701,3.9830143,1103170_B.jpg
0.52171963,4.235907,3.2956762,2.90812,4.802105,0.0,10.150436,3.9264421,1103170_F.jpg
0.53714836,5.286639,3.93472,3.3215868,5.173501,0.0,9.153979,4.0163465,1103384_B.jpg
0.5450691,5.3103333,3.995448,3.3362985,5.183525,0.0,9.094524,4.047684,1103384_F.jpg
1.0210917,9.500972,7.165102,4.5363007,6.595808,0.0,6.2254696,4.5386467,1104002_B.jpg
1.1674219,9.735643,7.3601484,4.600371,6.7453384,0.0,6.0502396,4.494067,1104002_F.jpg
0.6430585,5.363424,5.00218,2.939248,5.054494,0.0,9.125199,3.9092512,1104191_B.jpg
0.60850567,5.396206,4.8674307,3.0364733,5.060339,0.0,9.276233,3.9284337,1104191_F.jpg
0.74251556,7.4715605,6.6683717,4.093909,5.7931623,0.0,7.9301586,4.0986204,1104261_B.jpg
0.7952329,7.4759607,6.7253513,3.9987946,5.763649,0.0,7.6485844,4.047963,1104261_F.jpg
0.54419035,4.065858,3.1664395,2.961452,4.833948,0.0,10.097103,3.8405132,1104313_B.jpg
0.51437676,4.0319448,3.1497362,2.979595,4.8444324,0.0,10.169921,3.861685,1104313_F.jpg
0.6041539,5.2576785,4.427629,3.1465454,5.266854,0.0,9.1424265,3.7524827,1105257_B.jpg
0.6150929,5.415408,4.428137,3.0285287,5.2385826,0.0,9.1055565,3.753172,1105257_F.jpg
0.52117735,4.6542983,3.5154352,3.1578014,5.087329,0.0,9.592475,3.8169627,1105647_B.jpg
0.5268937,4.5302706,3.4705086,3.1303916,5.014394,0.0,9.367574,3.7588055,1105647_F.jpg
0.607238,5.521199,4.821181,3.3776555,4.665673,0.0,8.62843,3.7673087,1106091_B.jpg
0.6295406,5.345196,4.6710296,3.1058607,4.7838573,0.0,8.640911,3.6109612,1106091_F.jpg
0.9394325,9.222462,7.424317,5.1307526,6.704014,0.0,4.8356934,3.9562628,1106360_B.jpg
